Department,Job_Title,Hourly_Rate
Office for Civil Rights,Executive2,77.12
Fire Department,Executive4,102.08
Planning and Community Develop,Executive3,82.01
Seattle Dept of Transportation,Executive3,78.54
City Budget Office,Executive4,86.83
City Light,Electric Util Exec 2,105.0
Seattle Dept of Transportation,Executive3,83.83
Fire Department,"Fire Chief,Dep-80 Hrs",78.48
City Employees Retirement Syst,Executive4 *,107.07
City Light,"Electric Util Exec 3,Dir",93.88
Dept of Education & Early Lrng,Executive3,81.05
City Light,"Electric Util Exec 3,Dir",96.97
City Light,"Electric Util Exec 3,Dir",109.58
Fire Department,Executive4,107.84
City Light,Executive2,76.86
Police Department,Pol Capt,82.54
Dept of Finance & Admn Svc,Executive4,93.15
Seattle Information Technology,Executive4,85.26
City Light,Executive3,88.56
Police Department,Executive2,78.78
Police Department,Executive4,99.55
Seattle Dept of Transportation,Executive2,77.35
Fire Department,"Fire Chief,Dep-80 Hrs",78.48
Police Department,Pol Capt - Violent Crime,85.44
